PMA,IDE_Entrants_2014,PIB_const_ppp
Afghanistan,53.56,14136.40049
Angola,-3881,69199.80031
Bangladesh,1526.7,114576.5599
Benin,377.3586694,6324.053603
Bhoutan,5.835575471,1572.02036
Burkina Faso,341.8982029,9368.17621
Burundi,32.03537878,2525.264235
Cambodge,1730.35593,11484.94344
Republique centrafricaine,3.475007991,1120.451937
Tchad,760.5,8554.446496
Comores,14.02871004,462.5645748
Rep. dem. du Congo,2063.173236,21166.62606
Djibouti,152.9982388,1177.638752
Guinee equatoriale,1933,11240.79591
Erythree,46.51078584,1282.7282
ethiopie,1200,29243.08632
Gambie,28.4040208,875.4681376
Guinee,566,3574.762278
Guinee-Bissau,21.45964423,734.4719267
Haiti,99,4631.439176
Kiribati,1.171846831,122.5525562
Rep. dem. populaire lao,720.84,5386.084529
Lesotho,46.39,2118.285451
Liberia,302,1351.957548
Madagascar,350.6954306,6360.954274
Malawi,130.0328555,6082.958475
Mali,198.9273393,7727.379907
Mauritanie,492.4568182,3497.286986
Mozambique,4901.843478,14367.77522
Myanmar,946.223,26325.79307
Nepal,29.56067517,12208.9963
Niger,768.9853157,5413.147438
Rwanda,267.7,4814.018136
Sao Tome-et-Principe,19.94,201.8249082
Senegal,342.6500719,11635.6083
Sierra Leone,439.9,3254.001478
Iles Salomon,23.70768278,673.5185271
Somalie,105.5,2911.606051
Soudan du Sud,-700,6414.939573
Soudan,1277.366367,35934.09598
Timor-Leste,33.905,2919.165467
Togo,292.0855152,3028.576552
Ouganda,1146.560083,21319.46967
Tanzanie,2141.6,33074.30175
Vanuatu,-22.28075731,552.4061705
Yemen,-577.6,22459.73446
Zambie,2483.8,12743.68929