Pays,PIB_total_par habitant_prix courants et constants (2005),Control of Corruption_2014,Government Effectiveness_2014,Political Stability and Absence of Violence/Terrorism: Estimate_2014,Regulatory Quality_2014,Rule of Law_2014
Afghanistan,14136.40049,-1.331163168,-1.344120622,-2.45806694,-1.126950502,-1.533755422
Angola,69199.80031,-1.452597737,-1.146913052,-0.2733486,-0.962016284,-1.096554041
Bangladesh,114576.5599,-0.910451531,-0.770675361,-0.876419783,-0.941491365,-0.720352352
Bénin,6324.053603,-0.780429363,-0.498997539,0.049571123,-0.506496251,-0.549865663
Bhoutan,1572.02036,1.274802208,0.270389497,0.996404946,-1.010596514,0.348472327
Burkina Faso,9368.17621,-0.525002599,-0.558241129,-0.787618876,-0.334788859,-0.533324122
Burundi,2525.264235,-1.193353176,-1.094306707,-0.893656909,-0.773074627,-0.933799624
Cambodge,11484.94344,-1.081862569,-0.678407967,-0.039973695,-0.403112918,-0.92512697
République centrafricaine,1120.451937,-1.150226355,-1.84076488,-2.672609091,-1.412346959,-1.732975483
Tchad,8554.446496,-1.234214544,-1.479538202,-1.533385873,-1.165584803,-1.116221428
Comores,462.5645748,-0.530485272,-1.665967107,-0.194327489,-1.138621092,-0.935984254
Rép. dém. du Congo,21166.62606,-1.287079811,-1.594228864,-2.273853302,-1.341215134,-1.43008399
Djibouti,1177.638752,-0.492325991,-0.969767988,-0.717478454,-0.546665609,-0.845383167
Érythrée,1282.7282,-0.432153493,-0.470100433,-1.239940882,-0.978259265,-0.419508904
Éthiopie,29243.08632,-0.679214001,-0.606331706,-0.101983927,-0.493555337,-0.630812705
Gambie,875.4681376,-1.512266874,-1.551520824,-0.742179811,-1.27336657,-1.356773376
Guinée,3574.762278,-1.251224995,-2.030883789,-0.611463904,-1.037548661,-1.194252253
Guinée-Bissau,734.4719267,0.307060987,-0.575137138,0.716209054,-0.961299002,-0.152370706
Haïti,4631.439176,-0.764511108,-0.387987822,0.459761083,-0.848449409,-0.70615983
Kiribati,122.5525562,0.1488536,-0.512667894,-0.274988145,-0.431536108,-0.221813604
Rép. dém. populaire lao,5386.084529,-0.779686451,-1.371215105,-0.625768065,-0.836015761,-0.844522476
Lesotho,2118.285451,-0.800706148,-1.277683258,-0.544494629,-0.724304795,-0.742408931
Libéria,1351.957548,-0.760259569,-0.687385917,0.118758194,-0.693626881,-0.298211873
Madagascar,6360.954274,-0.718530178,-1.116365552,-1.738054872,-0.55706656,-0.651007414
Malawi,6082.958475,-0.915579081,-1.050526857,-0.581190169,-0.696470976,-0.819282174
Mali,7727.379907,-0.702652812,-0.73005861,-0.350936025,-0.393457264,-0.840028703
Mauritanie,3497.286986,-0.921881616,-1.279078007,-1.063364863,-1.390419722,-1.165930033
Mozambique,14367.77522,-0.544040501,-0.831010878,-0.70372504,-0.850234568,-0.676522374
Myanmar,26325.79307,-0.629819572,-0.737732291,-1.26710391,-0.661142349,-0.690193594
Népal,12208.9963,0.829795122,0.024652118,-0.100152932,0.181823254,0.080381453
Niger,5413.147438,-0.157341853,-0.859601378,0.151107356,-0.73472172,-0.863724947
Rwanda,4814.018136,0.017469976,-0.39127332,-0.127161175,-0.221370101,-0.099903308
Sao Tomé-et-Principe,201.8249082,-0.94774574,-1.222039461,-0.219610095,-0.810832798,-0.924218655
Sénégal,11635.6083,-0.271453291,-1.070203066,0.486038238,-1.108169794,-0.570866525
Sierra Leone,3254.001478,-1.687165618,-2.479668617,-2.487877846,-2.113862753,-2.389421225
Îles Salomon,673.5185271,-1.613196254,-2.125386477,-2.538293362,-1.632524252,-1.799867868
Somalie,2911.606051,-1.446915507,-1.606815577,-2.356237173,-1.390012026,-1.145170331
Soudan du Sud,6414.939573,-0.796055317,-0.64241451,-0.536367834,-0.342903763,-0.409049302
Soudan,35934.09598,-0.649008632,-1.155138612,-0.216716021,-0.886472464,-1.165274262
République-Unie de Tanzanie,33074.30175,-0.414568007,-0.468505681,0.20562999,-0.515723944,-0.252742648
Timor-Leste,2919.165467,0.035282135,-0.93485254,1.331596732,-0.92881602,0.324132591
Togo,3028.576552,-1.097252965,-0.398749471,-0.929117143,-0.364753127,-0.388641864
Tuvalu,26.60248644,0.619463146,-0.546169817,0.659078002,-0.352631718,0.0946545
Ouganda,21319.46967,-1.551378012,-1.405440688,-2.526828289,-0.844803691,-1.170638919
Vanuatu,552.4061705,,,,,
Yémen,22459.73446,,,,,
Zambie,12743.68929,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
          Guinée équatoriale,11240.79591,-0.861256123,-1.616036057,-0.759104729,-2.118962526,-1.462812901